category,company,years_of_experience,job_location,description,more_info,skills,posted
Python,Surya Informatics Solutions Pvt. Ltd.,0 - 3 yrs,Chennai,"POSITION: Python Developer ELIGIBILITY: FRESHERS Your RoleUnderstand requirements and participate in project road map discussions in order to design ,  estimate ,  and deliver...",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp,"python, web technologies, linux, mobile, mysql, angularjs, javascript",2 days ago
Python,capgemini,12 - 15 yrs,Pune,"Job DescriptionExperience in Python ,  with knowledge of at least one Python web framework ,  such as Django ,  Flask ,  etc depending on your technology stackFamiliarity with...",https://www.timesjobs.com/job-detail/python-capgemini-pune-12-to-15-yrs-jobid-SnD3Qy3u93RzpSvf__PLUS__uAgZw==&source=srp,"security compliance, python, html5, mobile, javascript, database, django, python scripting",few days ago
Python,Pure Tech Codex Private Limited,2 - 3 yrs,Pune,"Job Description: 2 to 3 Years experience in Python.Expert in Python ,  with knowledge of at least one Python web framework  Flask ,  Django etc.Expert in server programming.Go...",https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp,"rest, python, database, django, debugging, mongodb",few days ago
QA Python / Python SDET,Gemini Solutions,4 - 7 yrs,Gurgaon,4  Years GurgaonB.TechRequired Skills 4   years of software quality assurance experienceExperience on creating Framework For Test Automation.Good knowledge of Python Scripting...,https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp,"python, mobile, svn, nosql, python scripting, git, api, sql database",few days ago
QA Python / Python SDET,GEMINI SOFTWARE SOLUTIONS,4 - 7 yrs,Gurgaon,4  Years GurgaonB.TechRequired Skills 4   years of software quality assurance experienceExperience on creating Framework For Test Automation.Good knowledge of Python Scripting...,https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-software-solutions-gurgaon-4-to-7-yrs-jobid-jsOuZLK8chlzpSvf__PLUS__uAgZw==&source=srp,"python, mobile, svn, nosql, python scripting, git, sql database",a month ago
"Python Developer , Python Programmer",RESEARCH DEVELOPERS      (More Jobs),0 - 3 yrs,₹Rs 1.00 - 3.00 Lacs p.a.,"Excellent understanding of machine learning techniques and algorithms ,  such as k-NN ,  Naive Bayes ,  SVM ,  Decision Forests ,  etc.Experience with common data science tool...",https://www.timesjobs.com/job-detail/python-developer-python-programmer-research-developers-delhi-delhi-ncr-noida-greater-noida-0-to-3-yrs-jobid-3MUarDWEYwBzpSvf__PLUS__uAgZw==&source=srp,"python, research, python programmer, Machine Learning, Pattern Recognition, Image Processing, Digital Image, Signal Processing, Electronic Circuits, Network Analysis",from Home  		    	 Posted a month ago
Python Developer,LAKSH HUMAN RESOURCE,1 - 3 yrs,Mumbai,"Powai ,  Mumbai Python Developer Experience : 1 to 3 yrs Skills Required : Job Summary : 1. Should have extensive knowledge of Python ,  Django frameowrk ,  REST APIs. 2. Shou...",https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-Bo79FYBR7__SLASH__5zpSvf__PLUS__uAgZw==&source=srp,"rest, python, django, git",1 day ago
Python Developer,Saisun Outsourcing Service Pvt. Ltd.,2 - 5 yrs,Chennai,"implementation at AgnikulDetect and troubleshoot software issuesWrite clear quality code for software and applications and perform test reviewsDevelop ,  implement ,   &  test...",https://www.timesjobs.com/job-detail/python-developer-saisun-outsourcing-service-pvt-ltd-chennai-2-to-5-yrs-jobid-6GAFmoi6mBpzpSvf__PLUS__uAgZw==&source=srp,"python, debugging, software developer",4 days ago
Python Developer,INITIATEFIRST INFORMATION SERVICES PRIVATE LIMITED,5 - 8 yrs,Hyderabad/Secunderabad,Requirements 5  years of experience.Expert in Python programming.Experience in Data modeling and extraction of data from different sources.Good experience in SQL.Experience in...,https://www.timesjobs.com/job-detail/python-developer-initiatefirst-information-services-private-limited-hyderabad-secunderabad-5-to-8-yrs-jobid-Cd__SLASH__52aF2KCZzpSvf__PLUS__uAgZw==&source=srp,"python, sql, Data modeling",5 days ago
Python Developer,SEVEN CONSULTANCY,4 - 7 yrs,"Navi Mumbai,  Mumbai",JOB DETAILSMin 3 year experience in Python applications related to data management.Postgres DB experience 3 yearsSQL ExperienceExperience in managing importing / exporting lar...,https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-4-to-7-yrs-jobid-PGeUDPey4RhzpSvf__PLUS__uAgZw==&source=srp,"python, mvc, sql",5 days ago
